PRACTICE_CODE,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Parks only - Index of Multiple Deprivation rank (country specific),Practice_code_weighted_tot_of_Parks only - Index of Multiple Deprivation decile (country specific),Practice_code_weighted_tot_of_Parks only - Average distance to nearest Park or Public Garden (m),Practice_code_weighted_tot_of_Parks only - Average size of nearest Park or Public Garden (m2),"Practice_code_weighted_tot_of_Parks only - Average number of Parks or Public Gardens within 1,000 m radius","Practice_code_weighted_tot_of_Parks only - Average combined size of Parks or Public Gardens within 1,000 m radius (m2)",Practice_code_weighted_tot_of_Parks only - Number of postcodes within built up area,Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 300m of a Park or Public Garden (percentage),Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 300m of a Park or Public Garden,Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 900m of a Park or Public Garden (percentage),Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 900m of a Park or Public Garden,Practice_code_weighted_tot_of_Parks and Playing Fields - Index of Multiple Deprivation rank (country specific),Practice_code_weighted_tot_of_Parks and Playing Fields - Index of Multiple Deprivation decile (country specific),Practice_code_weighted_tot_of_Parks and Playing Fields - Average distance to nearest Park Public Garden or Playing Field (m),Practice_code_weighted_tot_of_Parks and Playing Fields - Average size of nearest Park Public Garden or Playing Field (m2),"Practice_code_weighted_tot_of_Parks and Playing Fields - Average number of  Parks Public Gardens or Playing Fields within 1,000 m radius","Practice_code_weighted_tot_of_Parks and Playing Fields - Average combined size of  Parks Public Gardens or Playing Fields within 1,000 m radius (m2)",Practice_code_weighted_tot_of_Parks and Playing Fields - Number of postcodes within built up area,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 300m of a Park Public Garden or Playing Field,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 300m of a Park Public Garden or Playing Field (percentage),Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 900m of a Park Public Garden or Playing Field,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 900m of a Park Public Garden or Playing Field (percentage)
H84637,2261,22969,7,1035,1255504,1,1471110,28,0.07,3,0.42,12,22969,7,316,214965,4,999733,28,14,0.50,28,1.00
H84639,4085,24258,8,542,887283,2,1500363,38,0.21,10,0.94,36,24258,8,361,388351,6,1626884,38,16,0.42,38,1.00
H85001,15235,19387,6,328,291305,3,667265,39,0.47,19,1.00,39,19387,6,295,270148,4,696423,39,20,0.53,39,1.00
H85002,8713,13726,5,232,189075,7,925138,34,0.72,23,1.00,34,13726,5,225,161952,8,955651,34,24,0.73,34,1.00
H85003,7716,13658,5,298,246474,4,1100767,37,0.52,21,1.00,37,13658,5,296,241165,5,1127679,37,21,0.53,37,1.00
H85005,10911,18727,6,390,395667,2,917117,26,0.36,9,1.00,26,18727,6,334,291372,4,946907,26,11,0.44,26,1.00
H85006,5918,11534,4,300,4291358,3,9691913,32,0.54,17,1.00,32,11534,4,241,3702177,5,9867026,32,24,0.72,32,1.00
H85007,12457,26375,9,571,101347,2,383695,28,0.19,7,0.88,25,26375,9,336,105105,4,436419,28,16,0.51,28,1.00
H85008,5828,13180,4,358,2618070,2,5499147,35,0.45,15,0.99,34,13180,4,273,2009379,5,5607840,35,22,0.61,35,1.00
H85009,11760,18629,6,367,466416,3,1073531,26,0.37,9,1.00,26,18629,6,351,402886,4,1092292,26,10,0.41,26,1.00
H85011,8404,17955,6,580,192796,2,486606,22,0.15,4,0.93,21,17955,6,459,79146,4,514453,22,6,0.24,22,1.00
H85012,24665,21374,7,411,993663,4,2200111,36,0.34,11,1.00,36,21374,7,354,691133,6,2329085,36,14,0.43,36,1.00
H85016,8236,25039,8,326,174050,3,539516,22,0.49,10,1.00,22,25039,8,212,137737,8,1027668,22,17,0.80,22,1.00
H85018,8458,24251,8,598,41179,2,214250,37,0.13,5,0.92,35,24251,8,385,52128,4,319569,37,13,0.35,37,0.98
H85019,5026,27328,9,382,162501,4,786044,26,0.39,11,1.00,26,27328,9,293,93526,6,949054,26,13,0.52,26,1.00
H85020,16772,27260,9,369,95653,4,420346,29,0.41,12,1.00,29,27260,9,232,83912,8,652523,29,20,0.72,29,1.00
H85021,6683,15337,5,322,73541,4,319877,27,0.49,13,0.99,26,15337,5,242,67263,7,553003,27,19,0.69,27,1.00
H85022,3969,20454,7,388,212121,4,699865,33,0.43,14,0.98,32,20454,7,314,149360,6,792021,33,18,0.57,33,0.99
H85023,4063,10463,4,298,81753,4,606425,28,0.51,15,1.00,28,10463,4,197,76931,8,972076,28,23,0.80,28,1.00
H85024,10145,13671,5,331,196218,4,563705,25,0.48,12,1.00,25,13671,5,224,86166,9,661135,25,18,0.74,25,1.00
H85025,13722,20298,7,305,63387,5,393960,30,0.59,18,0.99,30,20298,7,230,59380,8,494715,30,23,0.74,30,1.00
H85026,11394,27738,9,421,275988,3,958465,35,0.31,11,0.98,34,27738,9,308,201316,6,1065797,35,16,0.50,35,1.00
H85027,10465,28791,9,405,1023701,3,2740900,45,0.33,16,0.98,45,28791,9,352,997132,4,2793311,45,18,0.39,45,1.00
H85028,9574,26088,9,341,76851,4,307428,31,0.46,15,0.99,31,26088,9,255,70263,8,421522,31,21,0.68,31,1.00
H85029,7492,12965,5,505,589029,2,1498097,25,0.19,4,0.97,24,12965,5,244,103615,6,1558536,25,16,0.71,25,1
H85030,12823,21360,7,439,47417,2,212093,37,0.32,14,0.96,36,21360,7,284,49419,6,386694,37,23,0.61,37,0.99
H85031,11312,20968,7,408,31712,2,112639,33,0.37,13,0.95,31,20968,7,298,37975,5,261845,33,19,0.58,32,0.97
H85032,3494,26232,9,611,112134,2,220943,32,0.21,7,0.81,25,26232,9,436,71185,3,271026,32,12,0.40,29,0.92
H85033,9579,14330,5,449,1158903,2,1694479,25,0.29,8,0.98,25,14330,5,265,615944,6,1754749,25,15,0.65,25,1.00
H85035,9158,15615,5,748,314919,2,589714,24,0.09,3,0.65,16,15615,5,291,79719,5,603544,24,16,0.63,24,1.00
H85037,13683,18535,6,272,156700,5,641916,29,0.62,18,1.00,29,18535,6,185,130428,9,1055948,29,25,0.86,29,1.00
H85038,9744,11911,4,288,332636,6,1621799,28,0.60,17,1.00,28,11911,4,180,243872,10,1741395,28,24,0.87,28,1.00
H85041,11145,20389,7,372,171742,2,379245,28,0.39,11,1.00,28,20389,7,273,122015,5,454590,28,17,0.60,28,1.00
H85045,13979,16895,6,260,438828,8,906878,36,0.62,23,1.00,36,16895,6,245,345721,10,976782,36,26,0.67,36,1.00
H85047,10288,16342,6,290,207188,6,760269,39,0.56,19,1.00,39,16342,6,284,194438,6,774509,39,20,0.57,39,1.00
H85048,16803,19508,6,361,218308,3,526790,31,0.40,14,1.00,31,19508,6,288,184135,4,571305,31,17,0.55,31,1.00
H85049,7277,25459,8,291,630025,4,1334492,30,0.52,15,1.00,30,25459,8,290,627898,4,1337813,30,15,0.53,30,1.00
H85051,15575,26484,9,506,346098,2,1084089,32,0.19,6,0.98,31,26484,9,293,160217,7,1321733,32,16,0.52,32,1.00
H85052,4338,15372,5,445,239384,2,714206,25,0.27,7,0.98,24,15372,5,392,177121,4,740762,25,9,0.33,25,1.00
H85053,4179,21928,7,464,97128,3,303250,32,0.29,10,0.97,31,21928,7,291,70253,6,429545,32,19,0.59,32,0.99
H85054,4998,26982,9,377,146787,4,769771,26,0.41,11,0.99,25,26982,9,283,88832,6,943479,26,14,0.55,26,1.00
H85055,7487,25633,8,590,215777,2,299380,28,0.14,4,0.92,25,25633,8,315,103409,6,484380,28,14,0.50,28,1.00
H85056,1561,20035,7,367,487916,3,1169146,31,0.35,11,1.00,31,20035,7,352,473059,4,1179009,31,12,0.37,31,1.00
H85057,6006,26283,8,533,140533,2,492501,28,0.21,7,0.92,26,26283,8,373,146918,4,541954,28,13,0.42,28,1.00
H85061,15914,22543,7,399,294323,3,1044155,38,0.34,12,1.00,38,22543,7,354,197350,6,1146654,38,14,0.41,38,1.00
H85063,5013,27294,9,371,174135,4,830190,25,0.42,11,1.00,25,27294,9,277,100518,6,1000941,25,14,0.56,25,1.00
H85065,3821,10760,4,311,5069121,3,9729946,31,0.56,17,1.00,31,10760,4,253,4310402,5,9875347,31,22,0.68,31,1.00
H85066,16826,20389,7,419,510500,2,1113483,27,0.24,6,1.00,27,20389,7,379,390639,4,1147251,27,8,0.33,27,1.00
H85067,3246,10179,3,377,4749903,3,8543402,28,0.37,11,1.00,28,10179,3,331,3802723,5,8701377,28,15,0.45,28,1.00
H85069,12602,19521,7,346,404055,5,1105753,33,0.39,13,1.00,33,19521,7,343,395897,6,1121878,33,13,0.39,33,1.00
H85070,8348,15484,5,350,221144,4,770963,28,0.47,13,0.98,27,15484,5,223,143359,8,1043652,28,21,0.75,28,1.00
H85072,6057,25485,8,414,191562,3,472602,25,0.36,9,0.98,24,25485,8,253,92275,7,787333,25,16,0.66,24,1.00
H85075,3130,20278,7,306,410429,4,943623,36,0.47,16,1.00,36,20278,7,295,395096,4,958760,36,17,0.49,36,1.00
H85076,9029,23262,7,443,256313,2,431519,25,0.31,7,0.99,24,23262,7,201,105118,8,896877,25,20,0.80,25,1
H85077,5235,21669,7,319,500431,4,1125694,30,0.49,15,0.99,30,21669,7,296,474127,5,1144288,30,16,0.53,30,1.00
H85078,2960,14401,5,351,332110,4,1213531,24,0.48,12,0.99,24,14401,5,254,240243,8,1281956,24,16,0.68,24,1.00
H85082,4717,18735,6,345,259382,3,692758,41,0.48,21,1.00,41,18735,6,305,231668,4,728258,41,23,0.55,41,1.00
H85086,1905,11597,4,263,72860,5,1111790,27,0.62,17,1.00,27,11597,4,201,78356,8,1282650,27,21,0.79,27,1.00
H85087,9106,14936,5,433,285136,3,750266,27,0.32,9,0.98,27,14936,5,322,198924,5,801873,27,14,0.48,27,1.00
H85088,3445,16657,6,294,328248,6,1059963,33,0.54,17,1.00,33,16657,6,281,304590,6,1079500,33,18,0.56,33,1.00
H85090,7085,14011,5,317,288526,4,1199485,24,0.56,13,0.99,24,14011,5,241,223973,8,1265879,24,17,0.72,24,1.00
H85092,5690,20470,7,314,143534,4,433188,32,0.56,18,0.97,31,20470,7,212,89336,9,549315,32,25,0.76,32,1.00
H85095,10644,21052,7,444,45246,3,202496,38,0.29,13,0.97,37,21052,7,279,50931,6,380801,38,23,0.61,37,0.99
H85100,6720,18862,6,540,940748,3,2812555,31,0.14,5,0.99,30,18862,6,517,1270702,4,2829305,31,6,0.17,31,0.99
H85101,8937,26465,9,451,180242,2,428851,26,0.28,7,0.99,25,26465,9,249,119669,7,833462,26,16,0.67,26,1.00
H85103,3898,17529,6,247,119531,5,1285408,34,0.68,23,1.00,34,17529,6,218,108889,8,1403565,34,25,0.75,34,1.00
H85105,12577,26687,9,426,141518,3,803963,34,0.42,15,0.93,32,26687,9,262,103219,7,991261,34,23,0.66,34,0.99
H85110,4787,14588,5,253,160332,5,944140,29,0.69,20,0.99,29,14588,5,182,123975,9,1201373,29,24,0.85,29,1.00
H85111,10053,10877,4,283,571229,5,857545,40,0.55,21,1.00,40,10877,4,268,504746,7,917938,40,23,0.61,40,1.00
H85112,4553,27234,9,652,182887,2,612243,30,0.14,5,0.71,23,27234,9,409,190709,4,675593,30,11,0.34,30,1.00
H85113,3672,21155,7,378,274345,4,721274,31,0.41,13,0.99,31,21155,7,299,177358,6,826200,31,18,0.59,31,1.00
H85114,12003,26364,9,381,683637,2,1291614,28,0.29,9,1,28,26364,9,377,666528,3,1300376,28,9,0.30,28,1
H85115,10743,22096,7,470,271028,3,608727,33,0.32,10,0.95,31,22096,7,383,179333,5,712478,33,14,0.46,32,0.98
H85116,8559,17300,6,365,380901,3,776522,33,0.42,14,0.99,33,17300,6,296,241538,6,946023,33,19,0.61,33,1.00
H85618,1994,25685,8,409,119032,3,418068,26,0.34,9,0.98,25,25685,8,303,66903,6,578968,26,13,0.50,26,1.00
H85634,6996,19043,6,261,66040,6,365208,34,0.63,22,1.00,34,19043,6,214,50343,12,486374,34,26,0.75,34,1
H85637,1628,17101,6,419,396792,3,935959,26,0.30,8,0.99,26,17101,6,357,317213,5,962814,26,10,0.40,26,1.00
H85643,2511,18359,6,474,1075669,3,3200742,33,0.24,9,0.99,33,18359,6,431,1427905,4,3236074,33,11,0.31,33,1.00
H85649,10363,15974,5,286,153027,5,773949,27,0.57,15,1.00,27,15974,5,221,109369,11,865873,27,20,0.77,27,1.00
H85650,751,18233,6,430,780164,3,1617127,32,0.34,12,0.99,32,18233,6,332,697961,4,1630204,32,17,0.50,32,1.00
H85653,14004,21246,7,455,277364,3,646872,33,0.32,10,0.97,32,21246,7,368,183949,5,762341,33,14,0.48,32,0.99
H85656,5446,23642,8,451,266949,3,752782,32,0.30,10,0.94,30,23642,8,327,190449,6,841992,32,15,0.47,32,1.00
H85659,3995,20688,7,306,386066,4,928838,35,0.46,15,1.00,35,20688,7,300,374739,5,936812,35,15,0.47,35,1.00
H85662,5673,28064,9,620,80933,2,152105,29,0.19,6,0.81,24,28064,9,449,52378,3,193006,29,10,0.35,27,0.92
H85664,2242,16817,6,432,264483,2,776530,24,0.29,7,1.00,23,16817,6,344,166458,4,818463,24,9,0.40,24,1.00
H85665,2388,10307,4,340,609308,2,849112,34,0.40,13,1.00,34,10307,4,247,306733,6,1225812,34,26,0.76,34,1.00
H85674,3685,19996,7,360,183590,3,701932,32,0.40,13,0.99,31,19996,7,274,137510,6,889499,32,19,0.63,32,1.00
H85680,10078,16646,6,417,152062,3,452529,23,0.31,7,1.00,23,16646,6,352,97165,6,500559,23,10,0.41,23,1.00
H85682,6820,15100,5,470,1238277,3,2652735,30,0.23,8,0.99,30,15100,5,434,1271769,4,2689667,30,9,0.27,30,1.00
H85683,6197,12627,4,368,143764,3,482537,28,0.38,10,1.00,27,12627,4,182,93351,9,981542,28,24,0.87,28,1.00
H85686,8705,24689,8,526,70740,2,351718,35,0.24,9,0.91,32,24689,8,334,60598,5,482878,35,17,0.49,35,0.98
H85691,167,20846,7,518,685707,2,1443574,21,0.00,0.00,1.00,21,20846,7,518,685707,3,1460955,21,0.00,0.00,21,1.00
H85693,10114,10523,4,319,61464,5,661365,27,0.46,13,1.00,27,10523,4,230,71216,8,921720,27,19,0.69,27,1.00
H85695,3062,15574,5,509,252197,2,715775,25,0.21,6,0.95,24,15574,5,444,181156,4,736732,25,8,0.27,25,1.00
J81002,8550,24772,8,1330,166712,1,189717,46,0.02,1,0.28,14,24772,8,750,46922,1,96252,46,4,0.08,28,0.64
J81003,9535,17013,6,724,77322,1,103544,39,0.13,5,0.68,26,17013,6,426,69071,3,177679,39,13,0.34,39,0.99
J81004,8384,14925,5,323,37992,4,162751,48,0.55,27,0.98,47,14925,5,311,38318,5,184250,48,28,0.56,47,0.99
J81005,18163,15907,5,1294,16972,1,20513,56,0.12,7,0.49,28,15907,5,455,8404,4,35159,56,27,0.50,50,0.90
J81006,31587,17757,6,875,103369,2,189928,38,0.19,7,0.75,27,17757,6,372,98178,3,282205,38,16,0.45,36,0.97
J81009,12464,10484,4,415,21454,2,46156,45,0.46,21,0.90,40,10484,4,245,25379,4,91805,45,31,0.72,45,0.99
J81010,11668,20056,6,791,508551,2,793987,65,0.31,23,0.69,48,20056,6,377,77444,5,618604,65,42,0.64,59,0.92
J81011,7882,17780,6,1267,91953,1,91958,47,0.18,6,0.35,15,17780,6,509,27009,2,50932,47,17,0.35,41,0.84
J81012,10335,18025,6,488,51829,2,98895,37,0.29,11,0.90,33,18025,6,354,40574,4,157407,37,15,0.44,36,0.99
J81013,11836,19062,6,1514,44452,1,53480,34,0.04,1,0.20,8,19062,6,475,42943,2,83227,34,9,0.29,33,0.96
J81014,16315,19480,6,392,39538,3,129067,42,0.44,18,0.95,40,19480,6,359,39508,4,150625,42,19,0.46,41,0.98
J81016,7365,21390,7,1288,46318,2,59084,52,0.19,13,0.68,37,21390,7,618,34705,4,103699,52,23,0.39,43,0.84
J81017,3984,18336,6,2764,378167,1,380050,59,0.09,6,0.20,12,18336,6,721,27992,2,48780,59,20,0.32,45,0.74
J81018,10921,17738,6,389,77162,3,246357,38,0.37,13,0.97,37,17738,6,340,68319,5,289601,38,16,0.43,38,0.99
J81019,16302,18312,6,2122,149805,1,172784,57,0.12,9,0.33,22,18312,6,498,39185,2,79836,57,25,0.41,50,0.87
J81020,3606,18884,6,3792,69040,1,69354,42,0.02,0.79,0.04,2,18884,6,538,22898,1,26419,42,13,0.34,36,0.88
J81021,11832,11105,4,294,64802,5,254599,39,0.59,22,0.99,39,11105,4,257,52067,7,310916,39,24,0.65,39,1.00
J81022,5249,21864,7,2358,2007198,1,2054631,33,0.00,0.10,0.04,1,21864,7,632,84661,2,236670,33,7,0.21,26,0.74
J81024,10159,9601,3,424,46064,3,167484,41,0.36,15,0.94,39,9601,3,283,32596,6,233878,41,23,0.57,41,1.00
J81025,6172,18724,6,2281,511941,1.00,511940,34,0.00,0.01,0.00,0.06,18724,6,605,29614,1,32334,34,8,0.28,27,0.80
J81026,15281,18015,6,1949,137387,2,152864,53,0.14,10,0.47,28,18015,6,588,31626,3,105880,53,27,0.44,44,0.79
J81027,17762,16107,6,974,490898,2,721414,46,0.23,10,0.59,27,16107,6,723,273881,2,594581,46,13,0.31,34,0.71
J81028,10083,26730,9,897,47298,1,55589,52,0.13,7,0.53,27,26730,9,519,35183,2,69604,52,16,0.30,45,0.86
J81029,5127,20423,7,1809,164682,1,169057,53,0.13,8,0.44,26,20423,7,682,38597,2,66925,53,22,0.33,44,0.78
J81030,8210,28343,9,836,1457206,2,1585276,34,0.19,8,0.79,28,28343,9,531,569349,2,1309175,34,11,0.28,31,0.90
J81031,8460,18910,6,1714,127433,1,155796,54,0.16,11,0.43,28,18910,6,496,45915,2,94832,54,25,0.42,48,0.86
J81032,6322,19646,7,1939,150800,1,159785,50,0.11,7,0.43,23,19646,7,666,40559,2,75849,50,19,0.31,42,0.80
J81033,17720,13224,4,513,200535,2,294039,41,0.33,14,0.84,35,13224,4,338,127930,4,371099,41,20,0.51,41,0.99
J81034,13552,23691,8,1166,118139,1,118270,45,0.05,2,0.34,14,23691,8,601,43694,2,95870,45,14,0.25,36,0.76
J81035,3481,12992,4,2539,118314,0.70,119924,33,0.02,1.00,0.04,2,12992,4,379,14213,1,24339,33,15,0.29,27,0.55
J81036,7872,14486,5,644,86225,2,111869,35,0.20,8,0.78,29,14486,5,382,52285,4,165708,35,15,0.45,35,0.97
J81038,5897,13467,5,585,153574,2,270332,40,0.27,10,0.84,33,13467,5,381,100274,4,294210,40,16,0.42,38,0.97
J81039,8346,21088,7,535,144341,1,168785,39,0.26,10,0.90,35,21088,7,426,118462,3,231518,39,13,0.35,39,0.99
J81040,4499,17535,6,4832,300199,1,300206,56,0.00,0.02,0.00,0.30,17535,6,573,48176,2,65951,56,22,0.38,48,0.82
J81041,19767,28317,9,2208,100788,1,102844,35,0.00,0.13,0.05,2,28317,9,655,39902,2,65415,35,6,0.18,26,0.75
J81042,8906,16848,6,667,183855,2,242369,39,0.22,9,0.70,28,16848,6,404,104555,4,299281,39,14,0.39,38,0.98
J81043,6623,20817,7,720,38584,1,58088,42,0.16,8,0.71,30,20817,7,385,25691,4,113008,42,19,0.42,41,0.97
J81044,10038,16592,5,674,142594,2,174732,33,0.18,6,0.74,25,16592,5,372,57202,4,233915,33,14,0.44,32,0.98
J81045,8204,10015,4,429,184237,2,376562,38,0.50,19,0.90,34,10015,4,307,131031,4,416283,38,22,0.59,37,0.98
J81046,11637,27421,9,1650,95853,1,100903,34,0.01,0.41,0.18,6,27421,9,594,33118,2,85627,34,7,0.20,28,0.83
J81047,13052,20196,7,667,101158,1,128260,35,0.15,6,0.79,27,20196,7,402,72439,3,176950,35,13,0.37,34,0.98
J81048,6153,22837,7,439,67295,3,194987,43,0.39,18,0.93,40,22837,7,359,58501,4,230963,43,20,0.46,42,0.98
J81049,10278,21075,7,383,73857,3,198765,40,0.41,16,0.95,38,21075,7,336,63906,4,239695,40,18,0.46,39,0.98
J81050,8922,23836,8,1352,25259,1,30121,37,0.12,5,0.55,20,23836,8,421,26165,3,82336,37,18,0.48,34,0.90
J81051,7847,15585,5,588,25937,1,41464,34,0.20,7,0.83,28,15585,5,476,27822,4,90781,34,11,0.37,29,0.88
J81052,5737,14156,5,563,161479,2,271567,41,0.25,10,0.88,37,14156,5,425,148290,3,317216,41,13,0.34,40,0.97
J81053,3975,18797,6,3533,139114,1,139480,45,0.04,3,0.14,9,18797,6,811,19847,1,23681,45,12,0.24,30,0.66
J81054,9794,28654,9,568,84082,2,168044,53,0.30,16,0.88,45,28654,9,564,82055,3,181550,53,16,0.31,45,0.88
J81055,9461,14024,5,851,113106,1,174931,39,0.11,4,0.57,22,14024,5,709,83969,2,177577,39,8,0.25,25,0.66
J81056,7325,20814,7,704,40032,2,62391,42,0.17,8,0.72,30,20814,7,391,25819,4,115812,42,19,0.42,41,0.96
J81057,6365,20396,7,702,36641,2,57121,42,0.17,8,0.72,30,20396,7,379,24300,4,113847,42,20,0.43,41,0.97
J81058,9612,23872,8,1549,2025779,1,2169152,32,0.12,5,0.57,20,23872,8,540,842208,2,1796720,32,11,0.33,29,0.85
J81059,8683,17801,6,381,75847,3,237272,38,0.38,14,0.97,37,17801,6,334,67572,5,280116,38,16,0.44,38,0.99
J81061,8356,24893,8,1292,192257,1,223537,46,0.02,1,0.29,14,24893,8,744,60873,1,134397,46,5,0.09,28,0.65
J81062,10215,19354,6,671,57288,1,72034,37,0.15,5,0.75,28,19354,6,395,42979,3,135462,37,14,0.39,37,0.99
J81063,2904,11162,4,555,208464,2,336271,40,0.38,14,0.80,32,11162,4,386,127848,4,338582,40,17,0.47,38,0.96
J81064,3643,18445,6,627,107053,2,211992,41,0.30,13,0.81,33,18445,6,395,89009,3,252208,41,17,0.41,39,0.96
J81065,8152,16759,6,498,62970,2,101217,34,0.32,11,0.88,30,16759,6,323,46352,4,168528,34,16,0.51,33,0.99
J81066,9982,22155,7,586,84858,2,150367,45,0.28,15,0.80,38,22155,7,375,47241,4,210360,45,24,0.47,44,0.97
J81067,4302,23461,8,425,151995,2,256790,42,0.41,18,0.93,39,23461,8,293,111566,5,320963,42,24,0.56,42,0.99
J81068,7380,19770,7,2285,42805,2,52239,53,0.20,15,0.51,32,19770,7,1226,21184,3,62318,53,22,0.34,38,0.66
J81069,4891,18679,6,643,91574,2,190290,39,0.29,12,0.80,32,18679,6,396,71038,4,229451,39,16,0.42,37,0.95
J81070,8946,17133,6,922,253576,1,296867,38,0.13,5,0.50,20,17133,6,390,83410,3,227564,38,15,0.42,37,0.98
J81071,3937,19225,6,486,181868,2,263334,40,0.28,11,0.95,38,19225,6,400,139060,3,338000,40,14,0.35,40,0.99
J81072,12272,12669,4,461,33424,3,107748,53,0.37,24,0.91,50,12669,4,287,33407,5,169759,53,30,0.54,53,1.00
J81073,13934,12100,4,1006,434094,2,556418,47,0.13,7,0.50,26,12100,4,925,353115,2,518689,47,8,0.17,28,0.54
J81074,5701,15128,5,2232,77031,2,129694,42,0.16,8,0.40,20,15128,5,499,22489,3,99083,42,21,0.52,37,0.89
J81075,4713,14819,5,644,58639,1,90878,45,0.18,10,0.77,36,14819,5,545,48733,3,121899,45,14,0.31,38,0.83
J81076,5759,15968,5,2774,60473,1,96122,45,0.10,5,0.26,13,15968,5,501,17581,2,68763,45,20,0.45,38,0.87
J81077,6454,24248,8,1477,233875,0.98,236028,44,0.03,1,0.27,11,24248,8,600,39000,2,90946,44,15,0.30,34,0.75
J81078,5688,20296,7,1879,142526,1,151154,54,0.09,6,0.44,25,20296,7,676,39783,2,71658,54,21,0.32,45,0.79
J81081,11885,23019,8,5001,21932,1,21998,58,0.00,0.16,0.01,1,23019,8,703,28896,1,40452,58,10,0.17,44,0.70
J81082,6278,20676,7,1437,45968,2,57952,60,0.21,16,0.65,43,20676,7,669,36240,4,97656,60,28,0.40,50,0.81
J81083,4425,15052,5,3835,360247,0.95,360373,56,0.02,0.53,0.03,1,15052,5,921,35967,0.98,37524,56,12,0.23,32,0.64
J81086,5090,21000,7,672,110589,2,194579,39,0.27,12,0.78,31,21000,7,409,57333,4,211336,39,16,0.39,37,0.95
J81087,9033,20690,7,874,133046,2,163318,34,0.14,5,0.66,22,20690,7,472,50871,3,165021,34,10,0.31,31,0.92
J81090,3190,14164,5,916,66654,1,95326,41,0.09,3,0.44,17,14164,5,823,56238,2,106650,41,6,0.18,19,0.49
J81609,2792,15455,5,2697,63083,1,68500,56,0.12,8,0.17,11,15455,5,790,36619,1,47474,56,17,0.30,34,0.66
J81612,2173,17695,6,1401,543099,1,580769,68,0.18,13,0.45,33,17695,6,851,216649,2,393250,68,23,0.33,45,0.63
J81613,4803,18036,6,785,504703,2,896385,42,0.31,12,0.65,27,18036,6,729,334820,3,878159,42,14,0.35,28,0.68
J81616,4109,20354,7,3056,156065,0.99,156344,66,0.01,0.94,0.03,2,20354,7,1591,98046,1,100102,66,9,0.16,22,0.41
J81620,8833,18806,6,5437,140096,1.00,140110,57,0.00,0.05,0.00,0.14,18806,6,562,23909,1,31274,57,18,0.29,49,0.83
J81621,5396,21442,7,1495,296573,1,419013,41,0.02,1,0.18,8,21442,7,677,109300,1,318943,41,6,0.13,26,0.70
J81623,1049,23079,7,4448,95752,1,103121,54,0.02,1,0.06,3,23079,7,1233,25374,1,37594,54,18,0.32,32,0.59
J81624,2109,8030,3,313,59995,5,270409,38,0.60,22,0.96,36,8030,3,246,43795,7,340266,38,26,0.70,38,1.00
J81625,7525,17484,6,679,102023,1,136652,39,0.14,6,0.76,29,17484,6,481,80697,3,206513,39,10,0.28,38,0.99
J81626,3982,19922,7,850,24401,2,37057,51,0.29,18,0.81,43,19922,7,484,24739,3,71481,51,24,0.43,47,0.92
J81628,2189,20660,6,2589,26399,1,26535,73,0.04,4,0.15,13,20660,6,743,21316,2,28961,73,28,0.37,60,0.79
J81631,2146,18715,6,1425,41180,1,44386,35,0.11,4,0.24,10,18715,6,453,19170,1,36104,35,11,0.30,33,0.96
J81632,3587,10956,4,773,182659,1,192843,30,0.10,3,0.63,20,10956,4,443,83285,4,216093,30,11,0.39,28,0.93
J81633,4050,12650,4,1091,132221,1,143187,36,0.04,2,0.31,11,12650,4,563,23816,2,83009,36,6,0.17,33,0.91
J81634,9585,9153,3,455,68556,4,238777,38,0.50,19,0.84,32,9153,3,298,40685,6,287780,38,23,0.61,38,0.98
J81637,5470,20511,7,1628,52027,2,62892,64,0.20,17,0.60,44,20511,7,726,38940,4,98022,64,30,0.40,52,0.78
J81640,1943,22693,7,2167,1253994,1,1319745,36,0.02,1,0.11,5,22693,7,659,107064,2,284407,36,8,0.19,27,0.72
J81644,3365,24554,8,1355,155996,1,165477,48,0.04,2,0.30,12,24554,8,616,50493,2,115131,48,16,0.28,38,0.76
J81645,2893,9176,3,279,68369,5,289695,40,0.60,23,1.00,40,9176,3,256,52235,7,351967,40,25,0.65,40,1.00
J81646,5025,23416,8,1028,138575,1,157474,41,0.07,3,0.46,19,23416,8,496,39040,3,153370,41,14,0.33,37,0.89
J81647,2111,22278,7,1132,29067,1,29493,88,0.17,18,0.56,52,22278,7,543,16810,2,37764,88,38,0.42,76,0.85
J81648,3380,18734,6,671,114844,2,212385,41,0.27,12,0.79,33,18734,6,412,89795,3,244807,41,16,0.39,39,0.95
J82001,8752,13195,5,557,582032,2,1269955,64,0.26,17,0.87,54,13195,5,310,317285,5,1404915,64,37,0.63,60,0.95
J82002,10495,11319,4,931,100713,1,116968,53,0.07,4,0.40,22,11319,4,382,35295,3,117974,53,23,0.41,52,0.99
